timestamp,AccX,AccY,AccZ,GyroX,GyroY,GyroZ,MagX,MagY,MagZ,Activity
2019-07-15_112608:140,-0.399109,-0.008636,-0.29895,-0.007143000000000001,0.004497,0.000404,-18.559998999999998,-1.5,-15.0,3b
2019-07-15_112608:160,-0.39859,-0.004547,-0.29943800000000004,-0.007143000000000001,0.004894,-0.000512,-18.559998999999998,-1.5,-15.0,3b
2019-07-15_112608:180,-0.396057,-0.005065999999999999,-0.29943800000000004,-0.006807,0.004649,-0.000664,-18.559998999999998,-0.75,-14.5,3b
2019-07-15_112608:200,-0.396545,-0.005065999999999999,-0.295898,-0.006319,0.004375,-0.00011499999999999999,-18.559998999999998,-0.75,-14.5,3b
2019-07-15_112608:220,-0.397583,-0.0030210000000000002,-0.29538000000000003,-0.005922,0.004619,0.000129,-19.370001000000002,-1.25,-14.06,3b
2019-07-15_112608:240,-0.399109,-0.0030210000000000002,-0.293854,-0.005343,0.004771,-0.00011499999999999999,-19.370001000000002,-1.25,-14.06,3b
2019-07-15_112608:260,-0.39502,-0.002014,-0.29486100000000004,-0.005068,0.005046,-0.00023700000000000001,-19.370001000000002,-1.25,-14.06,3b
2019-07-15_112608:280,-0.393494,-0.000488,-0.29284699999999997,-0.004824,0.004894,-0.000267,-19.370001000000002,-2.06,-13.25,3b
2019-07-15_112608:300,-0.393005,0.000488,-0.29180900000000004,-0.005129,0.004314,-0.000176,-19.370001000000002,-2.06,-13.25,3b
2019-07-15_112608:320,-0.397064,0.001007,-0.29284699999999997,-0.005343,0.0036420000000000003,-0.000328,-19.870001000000002,-2.18,-15.0,3b
2019-07-15_112608:340,-0.399109,0.000488,-0.290802,-0.0056170000000000005,0.00349,-0.000664,-19.870001000000002,-2.18,-15.0,3b
2019-07-15_112608:360,-0.39859,0.0,-0.28927600000000003,-0.005861,0.003307,-0.000908,-19.870001000000002,-2.18,-15.0,3b
2019-07-15_112608:380,-0.40063499999999996,-0.000488,-0.28875700000000004,-0.005526,0.003246,-0.000176,-18.68,-2.18,-13.5,3b
2019-07-15_112608:400,-0.397064,-0.001007,-0.28775,-0.005404,0.0029100000000000003,-0.000573,-18.68,-2.18,-13.5,3b
2019-07-15_112608:420,-0.398071,-0.002014,-0.290283,-0.005129,0.002239,-0.0010609999999999999,-18.68,-2.18,-14.25,3b
2019-07-15_112608:440,-0.39502,-0.002014,-0.291321,-0.004427,0.001628,-0.001854,-18.68,-2.18,-14.25,3b
2019-07-15_112608:460,-0.396545,-0.001007,-0.293335,-0.003573,0.0008039999999999999,-0.002037,-18.68,-2.18,-14.25,3b
2019-07-15_112608:480,-0.398071,0.0,-0.293854,-0.002932,0.00056,-0.0017629999999999998,-19.059998999999998,-2.18,-13.75,3b
2019-07-15_112608:500,-0.396545,0.001007,-0.293854,-0.002443,0.000285,-0.001641,-19.059998999999998,-2.18,-13.75,3b
2019-07-15_112608:520,-0.398071,0.0030210000000000002,-0.296387,-0.001925,0.000682,-0.0019149999999999998,-19.5,-2.18,-13.87,3b
2019-07-15_112608:540,-0.397583,0.004059,-0.294373,-0.001986,0.000743,-0.0017629999999999998,-19.5,-2.18,-13.87,3b
2019-07-15_112608:560,-0.39859,0.004059,-0.297913,-0.002169,0.000621,-0.000786,-19.5,-2.18,-13.87,3b
2019-07-15_112608:580,-0.399109,0.001495,-0.29232800000000003,-0.0025960000000000002,0.00056,-0.000634,-19.5,-2.25,-15.06,3b
2019-07-15_112608:600,-0.402161,0.0,-0.29538000000000003,-0.002382,0.000865,-0.000786,-19.5,-2.25,-15.06,3b
2019-07-15_112608:620,-0.40011599999999997,-0.001495,-0.29232800000000003,-0.002199,0.001292,-0.001458,-19.059998999999998,-1.75,-14.25,3b
2019-07-15_112608:640,-0.397064,-0.0035399999999999997,-0.291321,-0.0015890000000000001,0.001353,-0.002037,-19.059998999999998,-1.75,-14.25,3b
2019-07-15_112608:660,-0.395538,-0.0030210000000000002,-0.29180900000000004,-0.000643,0.001292,-0.002251,-19.059998999999998,-1.75,-14.25,3b
2019-07-15_112608:680,-0.393494,-0.001495,-0.28927600000000003,0.000608,0.000621,-0.0019760000000000003,-18.68,-2.56,-14.25,3b
2019-07-15_112608:700,-0.387909,-0.001007,-0.28979499999999997,0.0019210000000000002,-0.000325,-0.002251,-18.68,-2.56,-14.25,3b
2019-07-15_112608:720,-0.390961,0.004547,-0.293335,0.002653,-0.001576,-0.002251,-19.059998999999998,-2.56,-13.87,3b
2019-07-15_112608:740,-0.391479,0.006072999999999999,-0.29180900000000004,0.003385,-0.003163,-0.001519,-19.059998999999998,-2.56,-13.87,3b
2019-07-15_112608:760,-0.398071,0.008636,-0.296387,0.002928,-0.0035600000000000002,-0.0012439999999999999,-19.059998999999998,-2.56,-13.87,3b
2019-07-15_112608:780,-0.40063499999999996,0.011169,-0.29538000000000003,0.002409,-0.003621,-0.00011499999999999999,-19.059998999999998,-2.56,-14.25,3b
2019-07-15_112608:800,-0.401642,0.009125,-0.295898,0.0016460000000000001,-0.002705,0.000221,-19.059998999999998,-2.56,-14.25,3b
2019-07-15_112608:820,-0.401642,0.009125,-0.296387,0.000547,-0.001759,0.000129,-19.059998999999998,-2.56,-13.5,3b
2019-07-15_112608:840,-0.399597,0.008636,-0.295898,-0.000277,-0.0009050000000000001,0.001167,-19.059998999999998,-2.56,-13.5,3b
2019-07-15_112608:860,-0.398071,0.007111,-0.296906,-0.001375,-0.000233,0.001716,-19.059998999999998,-2.56,-13.5,3b
2019-07-15_112608:880,-0.39502,0.006072999999999999,-0.295898,-0.002443,0.000407,0.002052,-18.370001000000002,-2.56,-14.5,3b
2019-07-15_112608:900,-0.389954,0.006592,-0.293335,-0.0036950000000000004,0.000468,0.002113,-18.370001000000002,-2.56,-14.5,3b
2019-07-15_112608:920,-0.388428,0.0035399999999999997,-0.295898,-0.004732,-0.000233,0.002449,-18.68,-3.25,-14.5,3b
2019-07-15_112608:940,-0.386383,0.0035399999999999997,-0.295898,-0.005556,-0.001027,0.002754,-18.68,-3.25,-14.5,3b
2019-07-15_112608:960,-0.386383,0.0,-0.298431,-0.006197,-0.002095,0.003151,-18.68,-3.25,-14.5,3b
2019-07-15_112608:980,-0.389435,-0.001007,-0.29943800000000004,-0.006594,-0.0027660000000000002,0.003181,-18.75,-2.18,-13.75,3b
2019-07-15_112609:000,-0.390961,-0.001495,-0.300476,-0.006991,-0.003285,0.0030280000000000003,-18.75,-2.18,-13.75,3b
2019-07-15_112609:020,-0.391479,-0.001495,-0.304016,-0.007265000000000001,-0.003438,0.002357,-18.370001000000002,-1.5,-15.0,3b
2019-07-15_112609:040,-0.39502,-0.0035399999999999997,-0.305054,-0.007204,-0.003102,0.001991,-18.370001000000002,-1.5,-15.0,3b
2019-07-15_112609:060,-0.392487,-0.0030210000000000002,-0.307068,-0.006807,-0.002095,0.001564,-18.370001000000002,-1.5,-15.0,3b
2019-07-15_112609:080,-0.383331,-0.0035399999999999997,-0.30654899999999996,-0.006411,-0.001698,0.001045,-19.18,-1.75,-14.5,3b
2019-07-15_112609:100,-0.381317,-0.0035399999999999997,-0.306061,-0.005526,-0.0018510000000000002,0.0008619999999999999,-19.18,-1.75,-14.5,3b
2019-07-15_112609:120,-0.387909,-0.0025329999999999997,-0.308594,-0.004671,-0.00237,0.000648,-18.75,-1.75,-14.18,3b
2019-07-15_112609:140,-0.39502,-0.001495,-0.306061,-0.004213000000000001,-0.0024920000000000003,0.000587,-18.75,-1.75,-14.18,3b
2019-07-15_112609:160,-0.393005,-0.0025329999999999997,-0.307587,-0.003878,-0.001576,0.001381,-18.75,-1.75,-14.18,3b
2019-07-15_112609:180,-0.387909,-0.000488,-0.30654899999999996,-0.0037560000000000002,-0.001057,0.001655,-18.059998999999998,-2.56,-15.0,3b
2019-07-15_112609:200,-0.390442,-0.000488,-0.309601,-0.004152,-0.0009050000000000001,0.0022960000000000003,-18.059998999999998,-2.56,-15.0,3b
