timestamp,AccX,AccY,AccZ,GyroX,GyroY,GyroZ,MagX,MagY,MagZ,Activity
2019-07-12_130416:420,-0.449432,-0.045226999999999996,-0.201324,-0.012516,-0.019336000000000002,0.005983,-55.18,-12.87,-25.5,2b
2019-07-12_130416:440,-0.44891400000000004,-0.045745999999999995,-0.201843,-0.012943000000000001,-0.019611,0.006379,-55.18,-12.87,-25.5,2b
2019-07-12_130416:460,-0.444855,-0.046265,-0.206909,-0.013522999999999999,-0.019946000000000002,0.006654,-55.18,-12.87,-25.5,2b
2019-07-12_130416:480,-0.44638100000000003,-0.046265,-0.20843499999999998,-0.013645,-0.019733,0.007844,-53.68,-13.25,-26.559998999999998,2b
2019-07-12_130416:500,-0.44384799999999996,-0.051330999999999995,-0.210968,-0.013401,-0.019763,0.008454999999999999,-53.68,-13.25,-26.559998999999998,2b
2019-07-12_130416:520,-0.443329,-0.050842,-0.21606399999999998,-0.013187,-0.019367,0.007661,-53.68,-13.25,-25.5,2b
2019-07-12_130416:540,-0.44433599999999995,-0.049805,-0.21810900000000003,-0.012577,-0.019091999999999998,0.0076,-53.68,-13.25,-25.5,2b
2019-07-12_130416:560,-0.443329,-0.051849,-0.22116100000000002,-0.011722,-0.018756000000000002,0.008912,-53.68,-13.25,-25.5,2b
2019-07-12_130416:580,-0.441284,-0.053863999999999995,-0.223694,-0.011051,-0.018359999999999998,0.00937,-53.369999,-12.5,-25.75,2b
2019-07-12_130416:600,-0.441803,-0.053375,-0.226227,-0.010256999999999999,-0.017688,0.008912,-53.369999,-12.5,-25.75,2b
2019-07-12_130416:620,-0.440796,-0.053375,-0.22979699999999997,-0.009525,-0.017475,0.008638,-54.060001,-12.5,-27.0,2b
2019-07-12_130416:640,-0.43774399999999997,-0.053863999999999995,-0.230804,-0.009067,-0.017414,0.008454999999999999,-54.060001,-12.5,-27.0,2b
2019-07-12_130416:660,-0.43774399999999997,-0.053375,-0.234375,-0.008823000000000001,-0.016559,0.008058,-54.060001,-12.5,-27.0,2b
2019-07-12_130416:680,-0.43670699999999996,-0.053863999999999995,-0.235382,-0.008426000000000001,-0.016222999999999998,0.007905,-53.0,-12.5,-27.0,2b
2019-07-12_130416:700,-0.437225,-0.053375,-0.239441,-0.008395999999999999,-0.015430000000000001,0.008058,-53.0,-12.5,-27.0,2b
2019-07-12_130416:720,-0.434692,-0.05285599999999999,-0.23895300000000003,-0.008487,-0.014819999999999998,0.007905,-53.560001,-13.25,-28.559998999999998,2b
2019-07-12_130416:740,-0.433167,-0.053375,-0.239441,-0.008487,-0.014453,0.007905,-53.560001,-13.25,-28.559998999999998,2b
2019-07-12_130416:760,-0.432648,-0.05438200000000001,-0.24353000000000002,-0.008732,-0.013721,0.007997,-53.560001,-13.25,-28.559998999999998,2b
2019-07-12_130416:780,-0.431641,-0.055908000000000006,-0.243011,-0.008732,-0.013294,0.00757,-52.18,-12.87,-28.5,2b
2019-07-12_130416:800,-0.430634,-0.056915,-0.246063,-0.008762,-0.012927000000000001,0.0069900000000000006,-52.18,-12.87,-28.5,2b
2019-07-12_130416:820,-0.429108,-0.058960000000000005,-0.24706999999999998,-0.008334999999999999,-0.012531,0.006379,-52.560001,-12.06,-28.18,2b
2019-07-12_130416:840,-0.431122,-0.058441,-0.249115,-0.007877,-0.012103000000000001,0.005586,-52.560001,-12.06,-28.18,2b
2019-07-12_130416:860,-0.42758199999999996,-0.059479,-0.249115,-0.007084,-0.011463,0.004732,-52.560001,-12.06,-28.18,2b
2019-07-12_130416:880,-0.42807,-0.060486,-0.249115,-0.006076,-0.011249,0.004091,-52.060001,-12.5,-28.18,2b
2019-07-12_130416:900,-0.42758199999999996,-0.058960000000000005,-0.25012199999999996,-0.004947,-0.010851999999999999,0.003511,-52.060001,-12.5,-28.18,2b
2019-07-12_130416:920,-0.425537,-0.056915,-0.252686,-0.003849,-0.010578,0.00345,-52.5,-12.5,-29.0,2b
2019-07-12_130416:940,-0.42758199999999996,-0.055908000000000006,-0.252686,-0.003208,-0.010394,0.002839,-52.5,-12.5,-29.0,2b
2019-07-12_130416:960,-0.42453,-0.053863999999999995,-0.25216700000000003,-0.002659,-0.01012,0.002321,-52.5,-12.5,-29.0,2b
2019-07-12_130416:980,-0.42401099999999997,-0.051330999999999995,-0.253693,-0.002323,-0.009784000000000001,0.002229,-52.5,-12.87,-28.5,2b
2019-07-12_130417:000,-0.425018,-0.050842,-0.2547,-0.0022010000000000003,-0.00954,0.002321,-52.5,-12.87,-28.5,2b
2019-07-12_130417:020,-0.425018,-0.049316000000000006,-0.2547,-0.002414,-0.00954,0.00229,-51.75,-12.06,-29.25,2b
2019-07-12_130417:040,-0.427063,-0.049805,-0.2547,-0.002536,-0.008869,0.0027170000000000002,-51.75,-12.06,-29.25,2b
2019-07-12_130417:060,-0.427063,-0.048798,-0.2547,-0.002933,-0.008411,0.002839,-51.75,-12.06,-29.25,2b
2019-07-12_130417:080,-0.42758199999999996,-0.049805,-0.253693,-0.0033299999999999996,-0.007678,0.003023,-52.060001,-12.87,-29.68,2b
2019-07-12_130417:100,-0.426544,-0.048279,-0.254211,-0.003544,-0.007281999999999999,0.0029,-52.060001,-12.87,-29.68,2b
2019-07-12_130417:120,-0.423492,-0.050323,-0.25317399999999995,-0.003788,-0.006670999999999999,0.003053,-51.75,-12.87,-29.25,2b
2019-07-12_130417:140,-0.420441,-0.050842,-0.254211,-0.003788,-0.0066099999999999996,0.0029620000000000002,-51.75,-12.87,-29.25,2b
2019-07-12_130417:160,-0.420959,-0.049316000000000006,-0.256226,-0.003879,-0.0070680000000000005,0.0029620000000000002,-51.75,-12.87,-29.25,2b
2019-07-12_130417:180,-0.420959,-0.049805,-0.25521900000000003,-0.003879,-0.007281999999999999,0.003694,-51.0,-12.5,-30.5,2b
2019-07-12_130417:200,-0.42248500000000005,-0.050323,-0.25216700000000003,-0.003879,-0.007006999999999999,0.004182,-51.0,-12.5,-30.5,2b
2019-07-12_130417:220,-0.42401099999999997,-0.049316000000000006,-0.252686,-0.004062,-0.006945999999999999,0.0038469999999999997,-51.369999,-12.87,-30.870001000000002,2b
2019-07-12_130417:240,-0.425018,-0.050323,-0.25216700000000003,-0.004337,-0.006488,0.003511,-51.369999,-12.87,-30.870001000000002,2b
2019-07-12_130417:260,-0.425018,-0.049316000000000006,-0.25317399999999995,-0.004398,-0.006458,0.003511,-51.369999,-12.87,-30.870001000000002,2b
2019-07-12_130417:280,-0.42401099999999997,-0.049316000000000006,-0.252686,-0.004398,-0.0066099999999999996,0.0038469999999999997,-52.060001,-12.06,-30.870001000000002,2b
2019-07-12_130417:300,-0.421967,-0.048279,-0.25216700000000003,-0.004520000000000001,-0.006731999999999999,0.004091,-52.060001,-12.06,-30.870001000000002,2b
2019-07-12_130417:320,-0.420959,-0.049805,-0.25216700000000003,-0.004642,-0.0070680000000000005,0.004396,-51.369999,-12.87,-30.5,2b
2019-07-12_130417:340,-0.41943400000000003,-0.050842,-0.25116,-0.004459,-0.007404000000000001,0.004335,-51.369999,-12.87,-30.5,2b
2019-07-12_130417:360,-0.420959,-0.050323,-0.25216700000000003,-0.004581,-0.007862000000000001,0.004335,-51.369999,-12.87,-30.5,2b
2019-07-12_130417:380,-0.420441,-0.049316000000000006,-0.251648,-0.004612,-0.008258,0.004793,-51.75,-12.5,-30.059998999999998,2b
2019-07-12_130417:400,-0.41842700000000005,-0.051849,-0.25317399999999995,-0.004642,-0.008533,0.004732,-51.75,-12.5,-30.059998999999998,2b
2019-07-12_130417:420,-0.41943400000000003,-0.050323,-0.254211,-0.004886,-0.008655,0.003633,-51.75,-12.87,-31.25,2b
2019-07-12_130417:440,-0.41995200000000005,-0.050323,-0.25521900000000003,-0.004764,-0.009265,0.003908,-51.75,-12.87,-31.25,2b
2019-07-12_130417:460,-0.41943400000000003,-0.051849,-0.257233,-0.004520000000000001,-0.00954,0.005067,-51.75,-12.87,-31.25,2b
2019-07-12_130417:480,-0.42147799999999996,-0.050323,-0.256744,-0.004398,-0.009662,0.004732,-51.0,-12.87,-29.25,2b
2019-07-12_130417:500,-0.41943400000000003,-0.050323,-0.258759,-0.004520000000000001,-0.00954,0.00403,-51.0,-12.87,-29.25,2b
2019-07-12_130417:520,-0.41943400000000003,-0.048798,-0.258759,-0.004612,-0.009601,0.003908,-50.560001,-12.87,-29.68,2b
2019-07-12_130417:540,-0.41995200000000005,-0.050323,-0.259796,-0.004703,-0.009662,0.004152,-50.560001,-12.87,-29.68,2b
2019-07-12_130417:560,-0.420441,-0.050323,-0.260803,-0.004703,-0.00954,0.004213000000000001,-50.560001,-12.87,-29.68,2b
2019-07-12_130417:580,-0.41995200000000005,-0.050323,-0.26181,-0.004581,-0.009204,0.004396,-51.0,-13.25,-31.0,2b
2019-07-12_130417:600,-0.41842700000000005,-0.050323,-0.261322,-0.004642,-0.009052,0.004274,-51.0,-13.25,-31.0,2b
2019-07-12_130417:620,-0.416901,-0.050842,-0.264862,-0.004612,-0.009052,0.004396,-50.560001,-12.87,-31.370001000000002,2b
2019-07-12_130417:640,-0.41842700000000005,-0.050323,-0.264374,-0.004398,-0.008990999999999999,0.004671,-50.560001,-12.87,-31.370001000000002,2b
2019-07-12_130417:660,-0.417389,-0.051330999999999995,-0.264862,-0.004398,-0.008533,0.004793,-50.560001,-12.87,-31.370001000000002,2b
2019-07-12_130417:680,-0.417908,-0.051330999999999995,-0.263855,-0.004520000000000001,-0.008136,0.004548,-51.0,-12.87,-29.75,2b
2019-07-12_130417:700,-0.418915,-0.050842,-0.267426,-0.004612,-0.008136,0.004548,-51.0,-12.87,-29.75,2b
2019-07-12_130417:720,-0.416901,-0.051330999999999995,-0.2659,-0.004581,-0.007862000000000001,0.004548,-51.0,-12.5,-31.0,2b
2019-07-12_130417:740,-0.417389,-0.052338,-0.267426,-0.004581,-0.007739,0.004548,-51.0,-12.5,-31.0,2b
2019-07-12_130417:760,-0.417908,-0.050323,-0.265381,-0.004398,-0.007281999999999999,0.004671,-51.0,-12.5,-31.0,2b
2019-07-12_130417:780,-0.416901,-0.051330999999999995,-0.266907,-0.004398,-0.0070680000000000005,0.004671,-50.560001,-12.5,-31.0,2b
2019-07-12_130417:800,-0.41586300000000004,-0.050842,-0.267426,-0.004275999999999999,-0.006793,0.004793,-50.560001,-12.5,-31.0,2b
2019-07-12_130417:820,-0.416382,-0.050842,-0.266388,-0.004337,-0.0066099999999999996,0.004793,-50.560001,-12.5,-31.370001000000002,2b
2019-07-12_130417:840,-0.41485600000000006,-0.051330999999999995,-0.264862,-0.004459,-0.006275,0.004609,-50.560001,-12.5,-31.370001000000002,2b
2019-07-12_130417:860,-0.41586300000000004,-0.050842,-0.265381,-0.004275999999999999,-0.006214,0.004854,-50.560001,-12.5,-31.370001000000002,2b
2019-07-12_130417:880,-0.416382,-0.050842,-0.265381,-0.004520000000000001,-0.006092,0.004854,-50.25,-12.06,-31.75,2b
2019-07-12_130417:900,-0.41586300000000004,-0.051849,-0.2659,-0.004581,-0.0060609999999999995,0.004793,-50.25,-12.06,-31.75,2b
